Raggy Muffin - AWS Migration Cost Calculator,,,,,,
CloudFront CDN,35,USD,"500GB data transfer, 10M requests","$0.085 per GB (US), $0.01 per 10K requests",,
API Gateway,40,USD,"10M REST requests, 5M WebSocket messages","$3.50 per million REST, $1.00 per million WebSocket",,
NAT Gateway,40,USD,"2 NAT Gateways, 50GB processed",$0.045 per hour + $0.045 per GB processed,,
CloudWatch Logs,25,USD,"50GB ingested, 30-day retention",$0.50 per GB ingested,,
CloudWatch Metrics,10,USD,"100 custom metrics",$0.30 per metric per month,,
Secrets Manager,5,USD,"10 secrets",$0.40 per secret per month,,
X-Ray,5,USD,"5M traces per month",$5.00 per 1M traces,,
Data Transfer (Inter-AZ),15,USD,"100GB between AZs",$0.01 per GB,,
AWS Support (Developer Plan),29,USD,"24/7 support access",Fixed monthly cost,,
SUBTOTAL - AWS Infrastructure,622,USD,=SUM(B24:B44),"Add 10% buffer: =B45*1.1",,
AWS Infrastructure (with 10% buffer),684,USD,=B45*1.1,Accounts for variability,,
,,,,,,
,,,,,,
=== AI API COSTS ===,,,,,,
Service,Monthly Cost (USD),Unit,Notes,Calculation,,
Groq API - Chat Completions,90,USD,"300K queries, 500 tokens avg output","300000 * 500 / 1000000 * 0.59 (approx)",,
Voyage AI - Query Embeddings,6,USD,"300K query embeddings","300000 * 0.00002",,
Voyage AI - Document Embeddings,54,USD,"1.5M document chunks (50 docs/day, 30K chunks)","1500 * 1000 * 0.00002 (batch pricing)",,
SUBTOTAL - AI APIs,150,USD,=SUM(B52:B54),,,
,,,,,,
,,,,,,
=== TOTAL MONTHLY COSTS ===,,,,,,
Category,Current,After Migration,Difference,Difference %,,
Infrastructure,300,684,384,128%,"=C60-B60, =(C60-B60)/B60"
AI APIs,0,150,150,N/A,"Ollama was free (but slow, self-hosted)"
Total Monthly Cost,300,834,534,178%,"=B60+B61, =C60+C61"
,,,,,,
Cost per Query,0.001,0.003,0.002,200%,"=B63/B10*1000 (in USD), =C63/B10*1000"
Cost per Document Upload,6,16.68,10.68,178%,"=B63/(B11*30), =C63/(B11*30)"
,,,,,,
Annual Cost,3600,10008,6408,178%,"=B63*12, =C63*12"
,,,,,,
,,,,,,
=== ROI ANALYSIS ===,,,,,,
Metric,Value,Unit,Calculation,,,
Current Monthly Conversions,500,conversions,From inputs (B17),,,
Target Conversion Lift,5,%,From inputs (B15),,,
Additional Conversions,25,conversions,"=B72*B73/100",,,
Average Revenue per Conversion,100,USD,From inputs (B16),,,
Additional Monthly Revenue,2500,USD,"=B74*B75",,,
Additional Monthly Cost,534,USD,From Total Monthly Costs (D63),,,
Net Monthly Benefit,1966,USD,"=B76-B77",,,
ROI Percentage,368,%,"=B78/B77*100",,,
Payback Period,0.27,months,"=B77/B76 (immediate)",,,
Break-even Conversion Lift,2.67,%,"=B77/B72/B75*100 (min lift needed)",,,
,,,,,,
Annual Net Benefit,23592,USD,"=B78*12",,,
,,,,,,
,,,,,,
=== SCENARIO ANALYSIS ===,,,,,,
Conversion Lift Scenario,Conversions,Monthly Revenue,Net Benefit,ROI %,Annual Benefit,
Conservative (3% lift),15,1500,966,181%,11592,
Realistic (5% lift),25,2500,1966,368%,23592,
Optimistic (10% lift),50,5000,4466,836%,53592,
Aggressive (15% lift),75,7500,6966,1304%,83592,
,,,,,,
,,,,,,
=== ADDITIONAL BUSINESS VALUE (Not Quantified) ===,,,,,,
Benefit,Current State,After Migration,Impact,,,
Uptime,95-98%,99.9%,Less revenue loss from downtime,,,
Max Concurrent Users,100,Unlimited,No growth constraints,,,
Response Time,3-5 seconds,200-500ms,Better user experience,,,
Time to Ship Features,2-4 weeks,1-2 weeks,Faster innovation,,,
Enterprise Readiness,No,Yes,Land big customers (10x revenue potential),,,
Competitive Position,Behind,Leading,Market differentiation,,,
Developer Stress,High (2am pages),Low (auto-healing),Better work-life balance,,,
,,,,,,
,,,,,,
=== COST OPTIMIZATION OPPORTUNITIES ===,,,,,,
Optimization,Potential Savings,Timeline,Notes,,,
Reserved Instances (1-year),150,USD/month,Month 4,"40% discount on ECS, RDS",,
S3 Lifecycle Policies,5,USD/month,Month 2,Archive old documents to Glacier,,
ElastiCache Right-sizing,20,USD/month,Month 3,Downsize after usage analysis,,
CloudWatch Log Retention,10,USD/month,Month 2,Reduce from 30 to 7 days,,
API Response Caching,30,USD/month,Month 3,Reduce Groq API calls,,
Lambda Memory Optimization,5,USD/month,Month 4,Right-size memory allocations,,
Total Potential Savings,220,USD/month,Month 4-6,"Optimized cost: $834 - $220 = $614/month",,
,,,,,,
,,,,,,
=== RISK-ADJUSTED COSTS ===,,,,,,
Scenario,Probability,Monthly Cost,Expected Cost,Notes,,
Best Case (Optimized),30%,614,184,"After all optimizations",,
Expected Case,50%,834,417,"As estimated",,
Worst Case (Overruns),20%,1100,220,"20% cost overrun",,
Expected Monthly Cost (Risk-Adjusted),,,821,"=SUM(D116:D118)",Should budget for this,
,,,,,,
,,,,,,
=== BREAK-EVEN ANALYSIS ===,,,,,,
Monthly Cost Increase,534,USD,From Total Monthly Costs (D63),,,
Average Revenue per Conversion,100,USD,From inputs (B16),,,
Current Monthly Conversions,500,conversions,From inputs (B17),,,
Required Additional Conversions,5.34,conversions,"=B125/B126",,,
Break-even Conversion Lift,1.07,%,"=B128/B127*100",,,
,,,,,,
Insight: We only need 1.07% conversion lift to break even. Target is 5% (5x safety margin).,,,,,,
,,,,,,
,,,,,,
=== DOWNTIME COST SAVINGS ===,,,,,,
Metric,Current,After Migration,Savings,,,
Uptime,96%,99.9%,3.9%,,,"=C135-B135"
Monthly Downtime (hours),29.2,0.73,28.47,,,"=730*(1-B135/100), =730*(1-C135/100)"
Queries Lost per Hour,417,417,0,,,=B9/24
Total Lost Queries per Month,12176,304,11872,,,"=B136*B137"
Conversion Rate,2%,2%,2%,,,Assumed
Lost Conversions,243,6,237,,,"=B138*B139"
Revenue Lost to Downtime,24333,608,23725,,,"=B140*B16"
,,,,,,
Annual Revenue Saved from Reduced Downtime,284700,USD,=D141*12,This alone nearly justifies the migration!,,
,,,,,,
,,,,,,
=== SUMMARY & RECOMMENDATION ===,,,,,,
Metric,Value,Notes,,,
Monthly Cost Increase,534,USD,Incremental cost,,,
Break-even Conversion Lift,1.07,%,Minimum improvement needed,,,
Target Conversion Lift,5.00,%,Expected improvement,,,
Monthly Net Benefit (5% lift),1966,USD,After costs,,,
Annual Net Benefit (5% lift),23592,USD,Year 1,,,
ROI,368,%,Return on investment,,,
Payback Period,Immediate,,Less than 1 month,,,
Revenue Saved (Downtime),284700,USD/year,From improved uptime,,,
,,,,,,
RECOMMENDATION: ✅ PROCEED WITH MIGRATION,,,,,,
,,,,,,
The migration pays for itself with just 1.07% conversion lift. We're targeting 5% lift (conservative estimate based on 10-20x speed improvement). Even if we only achieve 2% lift we still see strong positive ROI. Additionally the improved uptime alone saves $284K/year in lost revenue.,,,,,,
,,,,,,
Combined with non-quantified benefits (unlimited scale competitive advantage enterprise readiness faster development) this is a clear strategic win.,,,,,,
,,,,,,
=== NOTES FOR PRODUCT OWNER ===,,,,,,
1. All costs are estimates based on current AWS pricing (January 2025) and usage projections.,,,,,,
2. Actual costs may vary by ±20% depending on actual usage patterns.,,,,,,
3. Cost optimization opportunities can reduce monthly cost to ~$614 by Month 6.,,,,,,
4. We've budgeted $834/month but risk-adjusted expected cost is $821/month.,,,,,,
5. The 10% buffer accounts for unexpected usage spikes or AWS price changes.,,,,,,
6. Groq and Voyage AI pricing is based on publicly published rates (January 2025).,,,,,,
7. All calculations assume 300K queries/month (10K/day). Update B9 to recalculate for different volumes.,,,,,,
8. ROI calculations are conservative - they only account for conversion lift not other benefits like reduced downtime or enterprise sales.,,,,,,
9. This calculator can be updated monthly to track actual vs estimated costs.,,,,,,
10. For detailed AWS pricing see: https://calculator.aws/,,,,,,
,,,,,,
=== REVISION HISTORY ===,,,,,,
Version,Date,Changes,Author,,
1.0,January 2025,Initial version,Dev Team,,
,,,,,,
END OF CALCULATOR,,,,,,
,,,,,,
To use this calculator:,,,,,,
1. Open in Excel or Google Sheets,,,,,,
2. Update the yellow INPUT PARAMETERS section (rows 9-17),,,,,,
3. All other cells will calculate automatically,,,,,,
4. Review the SUMMARY & RECOMMENDATION section for decision support,,,,,,
5. Use SCENARIO ANALYSIS to model different outcomes,,,,,,
